Name,Position,League,Goals,Assists,xG,xA,Mins
Kevin Anderson,Winger,Bundesliga,7,14,14.87,8.13,1460
Andrea Nicholson,Striker,Bundesliga,14,3,28.27,15.94,2946
Jack Mcgee,Striker,Bundesliga,14,11,8.14,9.02,3435
Katherine Hopkins,Winger,Bundesliga,20,3,23.43,19.13,3129
Donald Nguyen,Striker,Bundesliga,16,12,29.36,19.36,3250
Robert Farrell,Striker,Bundesliga,6,12,6.3,13.56,1932
Jasmin Reed,Winger,Bundesliga,13,4,22.05,18.79,1499
Shane Jordan,Striker,Bundesliga,7,8,16.7,15.93,3046
John Holden,Winger,Bundesliga,19,8,19.48,12.3,2838
Carol Mann,Striker,Bundesliga,7,3,7.13,6.07,3174
Faith Jensen,Striker,Bundesliga,23,9,6.08,10.8,3001
Jocelyn Acosta,Winger,Bundesliga,22,10,21.67,12.53,1351
Richard Valdez,Winger,Bundesliga,12,4,25.58,17.69,1204
Patricia Fischer,Striker,Bundesliga,21,10,24.55,11.18,1261
Joseph Perez,Winger,Bundesliga,12,11,18.6,18.26,2979
Brenda Mora,Striker,Bundesliga,11,8,7.5,14.46,1673
Gloria Gonzalez,Striker,Bundesliga,11,7,22.2,5.33,883
Carolyn Carpenter,Winger,Bundesliga,7,14,11.05,19.91,2222
Jeffrey Stevens,Striker,Bundesliga,5,11,27.78,11.96,3475
Chelsea Barrett,Striker,Bundesliga,8,14,25.96,9.66,1020
Jared Woodard,Winger,Bundesliga,9,13,22.73,14.2,3400
Stephen Daugherty,Winger,Bundesliga,5,11,28.72,4.85,2191
Kara Morgan,Striker,Bundesliga,19,3,5.79,13.82,911
Mrs. Kayla Frank,Winger,Bundesliga,9,13,23.41,11.47,1414
Trevor Lambert,Winger,Bundesliga,17,5,13.26,9.91,2381
Peter Anderson,Winger,Bundesliga,12,11,27.65,19.2,1274
Diana Todd,Winger,Bundesliga,12,13,11.67,11.88,2713
Tony Lozano,Striker,Bundesliga,9,4,23.12,6.72,1070
Anthony Stewart,Striker,Bundesliga,13,14,26.94,10.8,3268
