Name,Position,League,Goals,Assists,xG,xA,Mins
Leslie Mendez,Winger,Championship,7,4,28.11,6.01,1206
Brenda Castillo,Striker,Championship,17,5,24.65,8,2753
Jessica Garza,Striker,Championship,17,14,19.75,4.95,2873
James Brown,Striker,Championship,6,10,5.16,19.01,1785
Brenda Pitts,Winger,Championship,9,3,24.31,16.33,1189
Carmen Sparks,Striker,Championship,21,12,22.56,10.86,1509
Angela Prince,Striker,Championship,10,9,20.38,17.7,3418
Charles Wolfe,Winger,Championship,6,9,24.01,7.24,2271
Kristin Hernandez,Striker,Championship,8,3,17.82,15.19,1553
Anthony Thomas,Striker,Championship,15,11,22.6,17.55,2993
David Dominguez,Striker,Championship,12,10,28.38,9.07,2211
Christopher Robinson Jr.,Striker,Championship,16,6,14.4,15.88,2072
Christy Page,Striker,Championship,12,12,22.7,8.02,1325
Sarah Flores DVM,Winger,Championship,15,13,16.89,8.08,2285
Steven Smith,Winger,Championship,24,7,21.86,4.82,2860
Nathan Harmon,Striker,Championship,12,4,24.07,10.48,3231
Thomas Irwin,Striker,Championship,12,11,6.14,15.41,1355
Phillip White,Striker,Championship,21,14,21.17,18.98,818
Jacob Smith,Winger,Championship,24,14,10.67,13.26,1374
Brandi Rojas,Winger,Championship,24,8,21.75,17.67,1803
Joseph Mann,Striker,Championship,20,5,16.71,16.98,3266
Gary Fitzgerald,Striker,Championship,18,14,24.34,5.95,3266
Angela Martinez,Winger,Championship,15,9,8.09,11.26,2738
Lauren Holt,Striker,Championship,11,11,20.66,4.99,2739
Charles Sandoval,Winger,Championship,20,5,11.96,14.6,2435
Tiffany Garza,Winger,Championship,17,4,26.32,19.15,2498
Derek Sparks,Striker,Championship,19,9,28.21,5.33,2969
Sarah Fox DVM,Winger,Championship,20,9,29.91,15.48,1231
Austin Robertson,Striker,Championship,13,6,24.9,13.75,2891
Lisa Hill,Striker,Championship,7,13,23.84,12.92,2695
Ashley Baker,Striker,Championship,23,11,10.39,9.63,2743
Kristen Odom,Striker,Championship,24,10,13.4,9.04,2140
Corey Hurley,Striker,Championship,9,3,16.64,3.77,3228
Alexis Rich,Striker,Championship,14,3,24.33,6.7,944
Jeffery Ballard,Winger,Championship,21,7,27.87,3.26,3210
Debra Peterson,Winger,Championship,19,8,9.73,12.88,1873
Antonio Holland,Winger,Championship,12,5,28.06,4.8,1888
Laura Chan,Winger,Championship,19,11,22.39,17.84,3202
Alex Stevens,Striker,Championship,18,14,20.27,11.89,1599
Holly Kelly,Winger,Championship,24,12,10,14.89,1951
Perry White,Winger,Championship,11,8,6.39,9.98,3245
Michelle Norton,Winger,Championship,16,6,19.21,12.53,2756
Mario Hernandez,Striker,Championship,21,14,21.29,19.03,1262
Rebecca Page,Winger,Championship,21,9,10.27,4.41,2574
Tiffany Williams,Striker,Championship,14,10,18.91,7.32,2845
Sean Ruiz,Winger,Championship,23,11,26.41,16.26,1607
