Name,Position,League,Goals,Assists,xG,xA,Mins
Jill Sutton,Winger,Liga Portugal,7,7,17.31,11.9,3389
Christine Butler,Striker,Liga Portugal,20,4,20.84,7.8,2101
Lisa Cole,Striker,Liga Portugal,10,13,25.14,8.07,1889
Alyssa Weaver,Striker,Liga Portugal,16,6,14.95,7.72,2955
Barbara Patterson,Winger,Liga Portugal,15,12,25.15,16.12,3115
Andrew Willis,Winger,Liga Portugal,19,4,19.8,14.08,3069
Erika Stevenson,Striker,Liga Portugal,19,4,9.15,17.15,2627
Christina Kim,Winger,Liga Portugal,20,14,5.62,19.58,2353
Brittany Johnson,Striker,Liga Portugal,14,10,14.07,11.06,1492
Courtney Morris,Striker,Liga Portugal,16,3,18.67,4.13,1054
Brandon Washington,Striker,Liga Portugal,17,9,26,3.82,2278
Adam Keller,Striker,Liga Portugal,8,7,8.19,8.03,3100
Lisa Browning,Winger,Liga Portugal,11,13,25.01,18.85,1056
Chad Jordan,Winger,Liga Portugal,6,10,26.58,11.89,3230
Joel Gibson,Winger,Liga Portugal,19,3,8.77,7.62,1241
William Kirk,Winger,Liga Portugal,12,13,26.29,9.79,2681
Tracey Ferguson DVM,Striker,Liga Portugal,11,9,29.79,13.18,3446
Hunter Jones,Winger,Liga Portugal,19,7,23.17,14.1,1913
Brianna Harris,Striker,Liga Portugal,18,6,24.62,5.62,3237
James Leonard,Winger,Liga Portugal,12,9,29.86,19.61,1381
Ryan Long,Winger,Liga Portugal,16,12,20.14,12.26,2535
Raymond Butler,Winger,Liga Portugal,17,4,12.7,5.31,3445
Shirley Harmon,Striker,Liga Portugal,15,14,25.94,18.19,818
Michael Smith,Striker,Liga Portugal,21,3,20.36,4.27,1924
Matthew Washington,Striker,Liga Portugal,21,3,19.53,18.43,3454
Laura Hurst,Striker,Liga Portugal,8,13,11.34,19.94,2180
Patricia Jimenez,Winger,Liga Portugal,12,14,23.91,14.91,2365
Ashlee Conner,Striker,Liga Portugal,9,3,7.04,16.1,2880
Amy Dunn,Striker,Liga Portugal,20,14,28.11,8.73,2793
Michael Walton,Winger,Liga Portugal,8,7,13.15,19.01,2347
Ricardo Baker,Winger,Liga Portugal,19,12,8.19,12.01,1661
Sharon Velazquez,Striker,Liga Portugal,16,9,16.06,15.45,954
Craig Grant,Winger,Liga Portugal,9,4,6.06,18.71,1704
Michael Dorsey DDS,Striker,Liga Portugal,20,12,22.12,19.58,2069
Courtney Smith,Winger,Liga Portugal,18,10,27.57,17.16,1204
Jessica Bass,Striker,Liga Portugal,14,6,25.93,8.15,1643
Christopher Larson,Striker,Liga Portugal,11,14,8.18,19.43,2582
Diana Allen,Striker,Liga Portugal,17,5,8.16,13.68,2364
Kimberly Harper,Striker,Liga Portugal,24,12,25.34,18.82,1984
Caroline Fleming,Striker,Liga Portugal,9,13,28.11,14.49,1546
John Ramos,Winger,Liga Portugal,7,10,16.52,8.22,2525
Tina Harris,Striker,Liga Portugal,19,4,17.47,9.29,1070
Joshua Johnson,Striker,Liga Portugal,8,13,12.96,12.36,1569
Lori Moss,Striker,Liga Portugal,19,13,27.36,16.43,2515
Omar Evans,Striker,Liga Portugal,18,5,21.12,8.41,2310
Juan Rodriguez,Striker,Liga Portugal,24,14,12.21,12.86,971
Nicole Beltran,Winger,Liga Portugal,23,5,12.47,8.88,1073
Dylan Carroll,Winger,Liga Portugal,17,12,27.28,16.87,3106
Amanda White,Striker,Liga Portugal,14,13,5.34,10.93,1958
Dawn Odom,Winger,Liga Portugal,9,3,13.07,4.3,2506
Brian Rivera,Striker,Liga Portugal,24,8,18.86,5.82,2571
Christina Chavez,Winger,Liga Portugal,24,4,8.71,4.04,1221
Elizabeth Calderon,Winger,Liga Portugal,10,3,7.3,11.49,2244
Alexis Stanley,Striker,Liga Portugal,8,4,25.38,4.81,2009
April Crosby,Winger,Liga Portugal,6,14,27.36,4.94,3211
Lisa Holt,Winger,Liga Portugal,20,8,25.59,19,3225
William Huffman,Striker,Liga Portugal,22,6,27.47,17.84,1379
Terry Miller,Striker,Liga Portugal,9,8,18.83,10.69,1690
Michael Brown,Winger,Liga Portugal,8,14,25.31,19.76,1521
Olivia Carter,Winger,Liga Portugal,17,11,14.6,3,1680
Randy Morales,Winger,Liga Portugal,23,12,21.66,13.44,1921
Dr. Jeffrey Martin,Striker,Liga Portugal,6,14,29.72,13.48,3452
Matthew Hawkins,Winger,Liga Portugal,17,12,10.64,10.78,2807
Emily Stewart,Winger,Liga Portugal,15,10,14.75,9.75,2869
Kimberly Medina,Winger,Liga Portugal,8,3,17,10.74,2273
Christy Phillips,Striker,Liga Portugal,24,10,8.45,10.05,1182
Rachel Johnson,Striker,Liga Portugal,24,11,7.03,15.42,2981
Richard Matthews,Striker,Liga Portugal,19,8,25.74,5.3,2249
Barbara Martinez,Striker,Liga Portugal,8,12,29.42,6.36,3350
Norma Jackson,Winger,Liga Portugal,13,7,15.12,6.07,2390
Erik Juarez,Striker,Liga Portugal,11,8,7.19,7.46,2586
