Name,Position,League,Goals,Assists,xG,xA,Mins
Kevin Anderson,Winger,Premier League,5,10,13.5,8.31,1245
Andrea Nicholson,Striker,Premier League,11,2,28.34,15.32,2904
Jack Mcgee,Striker,Premier League,11,9,8.43,8.71,2955
Katherine Hopkins,Winger,Premier League,12,2,25.45,17.49,3125
Donald Nguyen,Striker,Premier League,9,11,30.07,18.78,3226
Robert Farrell,Striker,Premier League,4,8,6.68,14.54,1682
Jasmin Reed,Winger,Premier League,7,3,20.21,17.79,1395
Shane Jordan,Striker,Premier League,4,6,16.32,16.55,2674
John Holden,Winger,Premier League,13,5,18.99,12.62,2595
Carol Mann,Striker,Premier League,5,2,7.68,6.51,2727
Faith Jensen,Striker,Premier League,18,6,5.66,10.01,2652
Jocelyn Acosta,Winger,Premier League,12,6,20.16,13.73,1222
Richard Valdez,Winger,Premier League,7,3,24.7,17.98,1103
Patricia Fischer,Striker,Premier League,11,7,22.36,12.29,1257
Joseph Perez,Winger,Premier League,9,8,17.42,19.76,2893
Brenda Mora,Striker,Premier League,8,5,8.2,13.65,1607
Gloria Gonzalez,Striker,Premier League,8,6,21.88,4.86,822
Carolyn Carpenter,Winger,Premier League,5,10,11.34,18.94,2169
Jeffrey Stevens,Striker,Premier League,3,9,29.04,12.03,3131
Chelsea Barrett,Striker,Premier League,5,10,25.27,9.03,975
Jared Woodard,Winger,Premier League,5,9,21.13,13.26,3397
Stephen Daugherty,Winger,Premier League,3,8,27.03,4.81,1966
Kara Morgan,Striker,Premier League,12,2,5.57,12.53,866
Mrs. Kayla Frank,Winger,Premier League,6,10,24.05,10.6,1381
Trevor Lambert,Winger,Premier League,13,3,12.99,9.74,2351
Peter Anderson,Winger,Premier League,10,10,24.92,17.52,1220
Diana Todd,Winger,Premier League,9,8,11.72,11.63,2421
Tony Lozano,Striker,Premier League,7,3,25.07,6.69,962
Anthony Stewart,Striker,Premier League,9,9,28.62,10.69,2788
Robert Sanchez,Striker,Premier League,3,4,6.43,20.01,2622
Shane Castillo,Winger,Premier League,4,4,15.82,6.03,1876
Olivia Johnson,Winger,Premier League,5,3,23.21,6.6,822
Donald Rodriguez,Winger,Premier League,4,3,17.24,3.16,2414
